index,sub_area,n_bhk,surface,price,company_name,township,club_house,school,hospital,mall,park,pool,gym
72,pisoli,2.0,731.0,49.74,nirman developers,brookefield willows,yes,no,no,no ,yes,yes,yes
73,pisoli,2.0,744.0,50.56,nirman developers,brookefield willows,yes,no,no,no ,yes,yes,yes
76,manjri ,1.0,446.0,36.0,jhala group,tranquility annexe,yes,no,no,no ,yes,yes,yes
77,manjri ,2.0,670.0,55.0,jhala group,tranquility annexe,yes,no,no,no ,yes,yes,yes
78,manjri ,2.5,792.0,65.5,jhala group,tranquility annexe,yes,no,no,no ,yes,yes,yes
79,mahalunge,2.0,1180.0,68.0,jhala group,mahalunge riviera ,yes,no,no,no ,yes,yes,yes
80,mahalunge,2.0,860.0,65.0,jhala group,mahalunge riviera ,yes,no,no,no ,yes,yes,yes
81,mahalunge,3.0,988.0,92.0,jhala group,mahalunge riviera ,yes,no,no,no ,yes,yes,yes
82,mahalunge,3.0,1093.0,92.0,jhala group,mahalunge riviera ,yes,no,no,no ,yes,yes,yes
83,handewadi,1.0,456.0,33.5,jhala group,simplicity,yes,no,no,no ,yes,no,yes
84,handewadi,2.0,644.0,47.3,jhala group,simplicity,yes,no,no,no ,yes,no,yes
85,handewadi,2.5,785.0,55.22,jhala group,simplicity,yes,no,no,no ,yes,no,yes
86,koregoan,3.0,1060.0,136.0,shroff developers ,aureta ,no,no,no,no ,yes,yes,yes
88,mundhwa,2.0,664.0,47.59,unique properties,unique legacy royale,no,no,no,no ,yes,no,yes
89,mundhwa,2.0,670.0,47.7,unique properties,unique legacy royale,no,no,no,no ,yes,no,yes
90,mundhwa,2.0,673.0,47.8,unique properties,unique legacy royale,no,no,no,no ,yes,no,yes
